Mes,Arrecadacao,Arrecadacao Float
Outubro,2.942.815,2942815.0
Setembro,534.503.638,534503638.0
Agosto,490.275.930,490275930.0
Julho,418.869.282,418869282.0
Junho,406.750.435,406750435.0
Maio,330.009.015,330009015.0
Abril,352.979.427,352979427.0
Março,308.489.907,308489907.0
Fevereiro,375.952.222,375952222.0
Janeiro,338.727.534,338727534.0
,20194.504.238.668,20194504238668.0
Dezembro,371.516.872,371516872.0
Novembro,386.210.239,386210239.0
Outubro,493.557.480,493557480.0
Setembro,410.413.468,410413468.0
Agosto,387.859.699,387859699.0
Julho,369.420.383,369420383.0
Junho,255.276.263,255276263.0
Maio,720.564.556,720564556.0
Abril,232.642.303,232642303.0
Março,263.118.951,263118951.0
Fevereiro,317.259.423,317259423.0
Janeiro,296.399.026,296399026.0
,20183.036.143.592,20183036143592.0
Dezembro,299.278.857,299278857.0
Novembro,316.914.242,316914242.0
Outubro,286.676.722,286676722.0
Setembro,290.579.619,290579619.0
Agosto,271.534.555,271534555.0
Julho,249.090.317,249090317.0
Junho,236.398.127,236398127.0
Maio,238.050.522,238050522.0
Abril,217.740.910,217740910.0
Março,211.054.676,211054676.0
Fevereiro,220.122.991,220122991.0
Janeiro,198.702.048,198702048.0
,20171.838.568.021,20171838568021.0
Dezembro,174.985.310,174985310.0
Novembro,180.486.039,180486039.0
Outubro,147.421.432,147421432.0
Setembro,135.494.221,135494221.0
Agosto,137.730.147,137730147.0
Julho,141.664.866,141664866.0
Junho,157.209.080,157209080.0
Maio,169.580.721,169580721.0
Abril,142.078.562,142078562.0
Março,151.272.882,151272882.0
Fevereiro,162.069.283,162069283.0
Janeiro,138.575.472,138575472.0
,20161.797.879.226,20161797879226.0
Dezembro,124.905.721,124905721.0
Novembro,137.937.215,137937215.0
Outubro,128.008.274,128008274.0
Setembro,120.146.718,120146718.0
Agosto,122.392.783,122392783.0
Julho,146.157.387,146157387.0
Junho,113.914.231,113914231.0
Maio,165.371.281,165371281.0
Abril,158.249.169,158249169.0
Março,166.311.673,166311673.0
Fevereiro,190.589.106,190589106.0
Janeiro,223.895.663,223895663.0
,20151.519.721.771,20151519721771.0
Dezembro,159.854.660,159854660.0
Novembro,156.080.668,156080668.0
Outubro,128.307.738,128307738.0
Setembro,143.781.642,143781642.0
Agosto,138.197.533,138197533.0
Julho,100.299.768,100299768.0
Junho,108.980.346,108980346.0
Maio,120.747.201,120747201.0
Abril,110.212.123,110212123.0
Março,104.101.820,104101820.0
Fevereiro,127.624.590,127624590.0
Janeiro,121.533.677,121533677.0
,20141.711.318.234,20141711318234.0
Dezembro,130.249.497,130249497.0
Novembro,120.722.490,120722490.0
Outubro,130.346.697,130346697.0
Setembro,117.186.729,117186729.0
Agosto,150.360.155,150360155.0
Julho,149.889.699,149889699.0
Junho,119.373.624,119373624.0
Maio,167.164.285,167164285.0
Abril,138.920.788,138920788.0
Março,153.880.458,153880458.0
Fevereiro,172.407.518,172407518.0
Janeiro,160.816.290,160816290.0
,20132.376.174.750,20132376174750.0
Dezembro,162.552.704,162552704.0
Novembro,166.696.843,166696843.0
Outubro,150.351.349,150351349.0
Setembro,205.651.588,205651588.0
Agosto,193.756.508,193756508.0
Julho,204.687.931,204687931.0
Junho,117.936.887,117936887.0
Maio,136.861.245,136861245.0
Abril,201.477.840,201477840.0
Março,123.675.177,123675177.0
Fevereiro,298.984.590,298984590.0
Janeiro,413.542.084,413542084.0
,20121.834.958.234,20121834958234.0
Dezembro,229.098.991,229098991.0
Novembro,234.774.777,234774777.0
Outubro,250.321.104,250321104.0
Setembro,138.570.588,138570588.0
Agosto,133.480.376,133480376.0
Julho,136.735.500,136735500.0
Junho,120.164.283,120164283.0
Maio,114.039.330,114039330.0
Abril,103.085.736,103085736.0
Março,108.207.325,108207325.0
Fevereiro,128.585.500,128585500.0
Janeiro,137.894.718,137894718.0
,20111.561.680.727,20111561680727.0
Dezembro,170.177.455,170177455.0
Novembro,157.022.036,157022036.0
Outubro,150.128.477,150128477.0
Setembro,143.102.232,143102232.0
Agosto,130.094.710,130094710.0
Julho,133.509.341,133509341.0
Junho,121.060.676,121060676.0
Maio,108.145.029,108145029.0
Abril,115.137.681,115137681.0
Março,103.190.109,103190109.0
Fevereiro,121.874.420,121874420.0
Janeiro,108.238.556,108238556.0
,20101.083.427.367,20101083427367.0
Dezembro,116.827.841,116827841.0
Novembro,130.563.896,130563896.0
Outubro,128.253.976,128253976.0
Setembro,122.040.304,122040304.0
Agosto,105.319.321,105319321.0
Julho,96.843.041,96843041.0
Junho,81.204.566,81204566.0
Maio,62.656.347,62656347.0
Abril,63.139.767,63139767.0
Março,61.842.137,61842137.0
Fevereiro,59.801.482,59801482.0
Janeiro,54.934.683,54934683.0
,2009742.731.140,2009742731140.0
Dezembro,57.935.067,57935067.0
Novembro,71.960.174,71960174.0
Outubro,55.447.237,55447237.0
Setembro,56.586.637,56586637.0
Agosto,60.784.065,60784065.0
Julho,49.296.964,49296964.0
Junho,67.815.070,67815070.0
Maio,72.468.318,72468318.0
Abril,62.331.220,62331220.0
Março,56.139.927,56139927.0
Fevereiro,70.211.416,70211416.0
Janeiro,61.755.041,61755041.0
,2008857.819.431,2008857819431.0
Dezembro,108.873.689,108873689.0
Novembro,89.036.211,89036211.0
Outubro,81.429.310,81429310.0
Setembro,77.419.062,77419062.0
Agosto,75.520.733,75520733.0
Julho,50.825.487,50825487.0
Junho,52.005.562,52005562.0
Maio,47.201.872,47201872.0
Abril,54.239.154,54239154.0
Março,65.915.791,65915791.0
Fevereiro,59.951.017,59951017.0
Janeiro,95.401.538,95401538.0
,2007547.261.645,2007547261645.0
Dezembro,47.892.346,47892346.0
Novembro,54.535.491,54535491.0
Outubro,55.110.458,55110458.0
Setembro,40.758.677,40758677.0
Agosto,47.422.971,47422971.0
Julho,52.457.596,52457596.0
Junho,42.162.009,42162009.0
Maio,44.232.669,44232669.0
Abril,41.730.961,41730961.0
Março,39.409.813,39409813.0
Fevereiro,39.725.917,39725917.0
Janeiro,41.822.731,41822731.0
